trait	leafmid_BLUP	fenzhi_BLUP
25D001	17.68	7.18
25D002	17.86	8.52
25D003	18.05	10.74
25D004	17.51	11.63
25D005	17.83	5.4
25D006	17.68	7.18
25D007	17.33	7.63
25D008	18.03	8.96
25D009	18.03	6.74
25D010	17.51	9.85
25D011	16.98	8.07
25D012	17.15	18.3
25D013	17.51	6.29
25D014	18.21	7.63
25D015	17.51	8.52
25D016	18.21	5.85
25D017	17.33	7.63
25D018	17.33	9.85
25D019	17.68	11.63
25D020	18.03	6.74
25D021	16.98	9.85
25D022	18.03	6.29
25D023	17.15	5.4
25D024	18.38	6.29
25D025	18.38	10.29
25D026	18.26	8.12
25D027	17.86	6.29
25D028	17.15	5.4
25D029	17.51	9.4
25D030	17.68	6.29
25D031	17.51	13.85
25D032	17.51	11.63
25D033	18.21	7.18
25D034	18.21	7.18
25D035	17.68	4.96
25D036	18.21	7.63
25D037	17.51	9.4
25D038	17.15	12.96
25D039	18.03	7.63
25D040	18.05	9.4
25D041	19.44	10.29
25D042	18.91	6.29
25D043	18.21	8.96
25D044	18.73	6.74
25D045	17.68	5.85
25D046	18.03	9.85
25D047	17.68	6.29
25D048	17.51	11.18
25D049	NA	NA
25D050	17.86	4.96
25D051	17.68	12.52
25D052	18.03	4.51
25D053	17.86	2.74
25D054	18.56	5.85
25D055	17.68	8.96
25D056	18.91	8.52
25D057	18.56	10.29
25D058	17.68	6.74
25D059	17.68	6.29
25D060	17.33	7.18
25D061	17.86	8.07
25D062	18.03	7.63
25D063	17.41	7.32
25D064	17.33	10.29
25D065	17.68	12.07
25D066	17.15	5.85
25D067	17.86	10.29
25D068	18.56	7.18
25D069	18.38	6.74
25D070	19.44	13.41
25D071	18.56	13.85
25D072	18.38	3.62
25D073	18.38	4.07
25D074	17.86	8.52
25D075	18.21	6.29
25D076	18.21	8.07
25D077	18.03	12.96
25D078	17.33	7.18
25D079	17.86	4.07
25D080	17.68	4.51
25D081	17.86	8.07
25D082	17.33	5.4
25D083	18.21	6.74
25D084	17.33	5.4
25D085	18.03	4.51
25D086	17.86	9.4
25D087	18.38	7.63
25D088	16.45	9.4
25D089	17.68	6.29
25D090	18.03	9.4
25D091	18.03	4.96
25D092	17.68	8.07
25D093	17.51	9.4
25D094	17.51	2.29
25D095	18.91	6.74
25D096	19.44	8.52
25D097	NA	NA
25D098	16.45	8.52
25D099	18.21	7.63
25D100	17.68	15.63
25D1000	16.63	3.62
25D1001	17.15	8.52
25D1002	17.86	8.07
25D1003	16.8	4.07
25D1004	17.15	3.62
25D1005	17.15	5.4
25D1006	17.68	4.96
25D1007	17.51	5.4
25D1008	17.33	6.74
25D1009	17.15	10.74
25D101	16.63	6.74
25D1010	17.33	12.52
25D1011	17.68	4.51
25D1012	17.15	4.07
25D1013	17.15	5.4
25D1014	17.68	4.07
25D1015	17.86	9.85
25D1016	17.33	6.29
25D1017	17.68	6.74
25D1018	17.33	4.51
25D1019	17.51	3.18
25D102	18.03	6.74
25D1020	17.68	7.63
25D1021	16.45	5.4
25D1022	17.68	4.51
25D1023	17.33	6.29
25D1024	17.68	2.29
25D1025	18.03	8.07
25D1026	18.56	12.07
25D1027	16.98	5.85
25D1028	17.68	4.96
25D1029	17.15	8.52
25D103	18.38	9.4
25D1030	18.91	3.18
25D1031	18.03	5.4
25D1032	17.51	8.52
25D1033	17.15	10.29
25D1034	18.38	6.74
25D1035	18.03	6.74
25D1036	17.86	12.52
25D1037	17.51	4.96
25D1038	17.33	3.62
25D1039	18.03	8.07
25D104	18.73	8.52
25D1040	16.45	9.85
25D1041	17.33	6.74
25D1042	16.98	6.29
25D1043	17.33	6.29
25D1044	17.33	7.18
25D1045	17.15	8.96
25D1046	17.68	8.96
25D1047	17.33	4.07
25D1048	18.21	8.07
25D1049	17.51	7.18
25D105	17.86	7.63
25D1050	17.86	8.52
25D1051	17.51	8.07
25D1052	17.68	8.96
25D1053	17.51	11.18
25D1054	17.68	4.07
25D1055	18.03	12.52
25D1056	16.45	4.07
25D1057	16.1	3.62
25D1058	17.51	11.18
25D1059	17.86	11.18
25D106	18.21	9.4
25D1060	17.68	8.07
25D1061	17.68	3.18
25D1062	18.21	5.4
25D1063	17.51	4.96
25D1064	17.51	5.85
25D1065	17.68	2.74
25D1066	18.38	5.85
25D1067	17.51	8.07
25D1068	17.33	3.62
25D1069	17.51	12.07
25D107	17.15	10.74
25D1070	17.33	7.18
25D1071	17.33	9.85
25D1072	18.56	8.07
25D1073	17.68	8.07
25D1074	18.03	2.29
25D1075	18.38	2.29
25D1076	18.03	1.85
25D1077	17.68	4.51
25D1078	17.33	10.29
25D1079	17.51	8.96
25D108	16.98	16.96
25D1080	17.86	8.52
25D1081	18.21	8.07
25D1082	17.33	8.07
25D1083	17.51	6.29
25D1084	17.68	9.85
25D1085	17.15	12.96
25D1086	17.86	7.63
25D1087	18.21	5.4
25D1088	18.21	4.96
25D1089	18.03	1.85
25D109	16.63	8.07
25D1090	18.38	2.74
25D1091	16.98	5.85
25D1092	17.86	8.52
25D1093	17.68	3.62
25D1094	17.86	8.96
25D1095	17.33	11.18
25D1096	17.33	10.29
25D1097	18.03	4.07
25D1098	17.33	4.07
25D1099	17.68	4.96
25D110	17.51	6.29
25D1100	18.03	7.18
25D1101	17.51	5.85
